type,node_id,parent_id,planet_id,depth,size,x,y,z,r,g,b,image_id
image,,4_node_98,4,3,1,6.9001240730285645,4.194162368774414,2.2698476314544678,,,,Image_2912.jpg
image,,4_node_98,4,3,1,6.948580265045166,4.2102508544921875,2.313936948776245,,,,Image_4111.jpg
image,,4_node_98,4,3,1,6.8373894691467285,4.302130699157715,2.207704782485962,,,,Image_3797.jpg
image,,4_node_98,4,3,1,6.931271076202393,4.132434844970703,2.283961057662964,,,,Image_1914.jpg
image,,4_node_98,4,3,1,7.011852741241455,4.20296049118042,2.368764638900757,,,,Image_5464.jpg
image,,4_node_98,4,3,1,6.856130599975586,4.257321357727051,2.2313690185546875,,,,Image_2673.jpg
image,,4_node_98,4,3,1,6.950985431671143,4.197415828704834,2.332763671875,,,,Image_2266.jpg
image,,4_node_98,4,3,1,6.9942121505737305,4.19376802444458,2.3713197708129883,,,,Image_2914.jpg
image,,4_node_98,4,3,1,6.914660453796387,4.20136022567749,2.2803618907928467,,,,Image_1764.jpg
image,,4_node_98,4,3,1,6.973507881164551,4.229940891265869,2.3263604640960693,,,,Image_5899.jpg
image,,4_node_98,4,3,1,6.916360378265381,4.160677909851074,2.2808077335357666,,,,Image_5889.jpg
image,,4_node_98,4,3,1,6.97871208190918,4.183769702911377,2.3601016998291016,,,,Image_4777.jpg
image,,4_node_98,4,3,1,6.986819744110107,4.19036865234375,2.3513975143432617,,,,Image_5137.jpg
image,,4_node_98,4,3,1,7.034092426300049,4.1362199783325195,2.426091432571411,,,,Image_4683.jpg
image,,4_node_98,4,3,1,7.004300594329834,4.179510116577148,2.3728630542755127,,,,Image_3420.jpg
image,,4_node_98,4,3,1,7.003530979156494,4.164867401123047,2.390333652496338,,,,Image_4327.jpg
image,,4_node_98,4,3,1,6.990124702453613,4.181491374969482,2.373852491378784,,,,Image_53.jpg
image,,4_node_98,4,3,1,6.9720025062561035,4.19722843170166,2.3550915718078613,,,,Image_802.jpg
image,,4_node_98,4,3,1,6.985639572143555,4.1971917152404785,2.358135938644409,,,,Image_4905.jpg
image,,4_node_98,4,3,1,7.012646675109863,4.2009077072143555,2.339400053024292,,,,Image_97.jpg
image,,4_node_98,4,3,1,6.948619842529297,4.196426868438721,2.318169355392456,,,,Image_6362.jpg
image,,4_node_98,4,3,1,6.960233688354492,4.201638698577881,2.3289356231689453,,,,Image_1222.jpg
image,,4_node_98,4,3,1,6.946109771728516,4.206424236297607,2.323476791381836,,,,Image_5779.jpg
image,,4_node_98,4,3,1,6.9710869789123535,4.193261623382568,2.35624623298645,,,,Image_5331.jpg
image,,4_node_98,4,3,1,6.978121280670166,4.202028274536133,2.3555774688720703,,,,Image_4513.jpg
image,,4_node_98,4,3,1,6.918545246124268,4.275902271270752,2.258301019668579,,,,Image_1508.jpg
image,,4_node_98,4,3,1,6.927007675170898,4.255703449249268,2.3206472396850586,,,,Image_5530.jpg
node,planet_5,root,5,0,663,7.872560024261475,5.214655876159668,4.5555596351623535,0.6509803921568628,0.6431372549019608,0.5607843137254902,
node,5_node_663,planet_5,5,1,88,8.019211769104004,4.684637069702148,4.592097759246826,0.6431372549019608,0.6235294117647059,0.5450980392156862,
node,5_node_664,5_node_663,5,2,24,8.195096015930176,3.784291982650757,4.602325439453125,0.7058823529411765,0.6666666666666666,0.6078431372549019,
node,5_node_666,planet_5,5,2,13,7.725182056427002,4.0781660079956055,5.3424506187438965,0.5607843137254902,0.5411764705882353,0.5019607843137255,
node,5_node_667,planet_5,5,2,85,8.343022346496582,5.524104595184326,4.349135875701904,0.6745098039215687,0.6745098039215687,0.6039215686274509,
node,5_node_668,planet_5,5,2,44,8.674066543579102,5.745285987854004,4.249526023864746,0.6784313725490196,0.6862745098039216,0.6392156862745098,
node,5_node_669,planet_5,5,2,24,7.912498474121094,5.243844032287598,4.434370517730713,0.6745098039215687,0.6666666666666666,0.592156862745098,
node,5_node_670,planet_5,5,2,82,7.808933734893799,5.505492210388184,4.793339252471924,0.615686274509804,0.615686274509804,0.4823529411764706,
node,5_node_671,planet_5,5,2,53,7.73404598236084,5.0240349769592285,4.572742462158203,0.6352941176470588,0.6196078431372549,0.5411764705882353,
node,5_node_672,planet_5,5,2,21,7.662439346313477,4.880517482757568,4.779714107513428,0.6549019607843137,0.615686274509804,0.5372549019607843,
node,5_node_673,planet_5,5,2,67,7.415864944458008,4.370782852172852,5.213772773742676,0.6,0.5803921568627451,0.5490196078431373,
node,5_node_674,5_node_673,5,3,63,7.38896369934082,4.314399719238281,5.274383068084717,0.592156862745098,0.5764705882352941,0.5529411764705883,
node,5_node_675,5_node_673,5,3,23,7.856443881988525,5.479623317718506,4.086277961730957,0.6666666666666666,0.6705882352941176,0.6078431372549019,
node,5_node_676,5_node_675,5,4,78,7.821881294250488,4.7669148445129395,4.270871162414551,0.6352941176470588,0.6392156862745098,0.6,
node,5_node_677,5_node_675,5,4,124,7.858719348907471,5.905556678771973,3.929694414138794,0.7058823529411765,0.7294117647058823,0.6588235294117647,
node,5_node_678,5_node_676,5,5,12,7.825578212738037,4.445882797241211,4.609070301055908,0.6431372549019608,0.6392156862745098,0.5647058823529412,
node,5_node_679,5_node_676,5,5,61,7.814327716827393,4.834076881408691,4.202011585235596,0.6352941176470588,0.6392156862745098,0.6078431372549019,
node,5_node_680,planet_5,5,2,81,7.859671115875244,6.073709487915039,3.846989870071411,0.7215686274509804,0.7490196078431373,0.6745098039215687,
node,5_node_681,planet_5,5,2,26,7.863586902618408,5.470348834991455,4.151680946350098,0.6823529411764706,0.6901960784313725,0.6549019607843137,
node,5_node_682,planet_5,5,2,24,7.749842166900635,5.5558247566223145,4.910821437835693,0.6235294117647059,0.6196078431372549,0.47058823529411764,
node,5_node_683,planet_5,5,2,52,7.887103080749512,5.599418640136719,5.122709274291992,0.615686274509804,0.6078431372549019,0.4235294117647059,
